Date,Open,High,Low,Close,Adj Close,Volume
2015-01-19,156000.0,156800.0,154600.0,155200.0,151698.71875,456525
2015-01-20,156000.0,159400.0,156000.0,158000.0,154435.546875,506715
2015-01-21,156400.0,157800.0,153600.0,156000.0,152480.671875,357820
2015-01-22,156600.0,157800.0,152400.0,153000.0,149548.328125,417195
2015-01-23,155000.0,156000.0,152000.0,156000.0,152480.671875,496485
2015-01-26,155000.0,155800.0,153600.0,154200.0,150721.25,345015
2015-01-27,154800.0,155000.0,152200.0,152800.0,149352.84375,422445
2015-01-28,152000.0,156000.0,152000.0,155400.0,151894.1875,616100
2015-01-29,152000.0,152400.0,146200.0,147200.0,143879.1875,1392375
2015-01-30,145000.0,146000.0,142200.0,143200.0,139969.40625,1500305
2015-02-02,143200.0,144600.0,141400.0,142200.0,138991.96875,564970
2015-02-03,142200.0,143400.0,141000.0,142400.0,139187.46875,608205
2015-02-04,143200.0,145400.0,143000.0,145000.0,141728.796875,656765
2015-02-05,144400.0,145000.0,142000.0,142400.0,139187.46875,389445
2015-02-06,142200.0,144200.0,141600.0,143000.0,139773.953125,380000
2015-02-09,143000.0,143000.0,136000.0,136200.0,133127.328125,1071155
2015-02-10,134000.0,135600.0,127800.0,129600.0,126676.2265625,1851345
2015-02-11,132000.0,135400.0,130600.0,134600.0,131563.421875,964140
2015-02-12,136000.0,136000.0,131200.0,136000.0,132931.859375,574635
2015-02-13,135000.0,138400.0,133200.0,133600.0,130585.9765625,499090
2015-02-16,133200.0,135200.0,133000.0,133800.0,130781.4765625,277665
2015-02-17,133200.0,135000.0,133200.0,134200.0,131172.46875,176120
2015-02-23,133600.0,134400.0,126400.0,127800.0,124916.8515625,1458905
2015-02-24,127400.0,129400.0,127000.0,127400.0,124525.859375,714755
2015-02-25,127800.0,128800.0,126600.0,128200.0,125307.8125,733120
2015-02-26,127200.0,128200.0,125200.0,125200.0,122375.5078125,873715
2015-02-27,124600.0,133600.0,124600.0,132200.0,129217.6015625,1331750
2015-03-02,132400.0,133400.0,128200.0,129200.0,126285.2578125,752240
2015-03-03,130600.0,131800.0,129200.0,130000.0,127067.2109375,520120
2015-03-04,129800.0,136400.0,127800.0,136000.0,132931.859375,1342450
2015-03-05,135800.0,140200.0,135000.0,137800.0,134691.234375,840965
2015-03-06,138400.0,138800.0,134400.0,136000.0,132931.859375,461960
2015-03-09,133800.0,134800.0,130400.0,130600.0,127653.6796875,640980
2015-03-10,130400.0,131800.0,128200.0,128200.0,125307.8125,557990
2015-03-11,127800.0,129200.0,125800.0,125800.0,122961.96875,870575
2015-03-12,126600.0,129000.0,125400.0,125400.0,122570.9765625,922700
2015-03-13,129000.0,130600.0,128000.0,130000.0,127067.2109375,786380
2015-03-16,130600.0,130600.0,127400.0,128600.0,125698.796875,628615
2015-03-17,129800.0,132600.0,128800.0,132000.0,129022.1015625,608620
2015-03-18,131600.0,133200.0,130000.0,130800.0,127849.171875,554585
2015-03-19,132200.0,132400.0,128200.0,128200.0,125307.8125,601960
2015-03-20,128600.0,130800.0,128600.0,130800.0,127849.171875,452620
2015-03-23,132000.0,136200.0,131400.0,136000.0,132931.859375,830885
2015-03-24,137000.0,137000.0,133400.0,135000.0,131954.40625,440255
2015-03-25,136800.0,137000.0,133800.0,134000.0,130976.9453125,373600
2015-03-26,134000.0,135000.0,132000.0,132200.0,129217.6015625,475305
2015-03-27,134200.0,134600.0,132400.0,134400.0,131367.9375,507190
2015-03-30,137000.0,138400.0,134600.0,136200.0,133127.328125,444640
2015-03-31,138000.0,138200.0,133800.0,134200.0,131172.46875,453590
2015-04-01,134400.0,135000.0,132200.0,133400.0,130390.5078125,375975
2015-04-02,132800.0,133800.0,124800.0,128400.0,125503.3203125,2405490
2015-04-03,127600.0,129800.0,126400.0,129400.0,126480.7578125,692920
2015-04-06,129600.0,130600.0,126800.0,127000.0,124134.8984375,456250
2015-04-07,128200.0,129000.0,127400.0,127800.0,124916.8515625,342595
2015-04-08,128600.0,129400.0,128000.0,129000.0,126089.765625,606450
2015-04-09,129000.0,133800.0,128600.0,130600.0,127653.6796875,881670
2015-04-10,131000.0,132400.0,129400.0,130000.0,127067.2109375,599965
2015-04-13,129200.0,131000.0,128600.0,130400.0,127458.1875,473740
2015-04-14,130400.0,133600.0,130200.0,133400.0,130390.5078125,631380
2015-04-15,133800.0,134400.0,133000.0,134200.0,131172.46875,426385
2015-04-16,134800.0,135000.0,132400.0,134600.0,131563.421875,483985
2015-04-17,135000.0,135400.0,133400.0,133800.0,130781.4765625,503265
2015-04-20,132200.0,134400.0,132200.0,133200.0,130195.015625,437785
2015-04-21,133800.0,134000.0,130600.0,133800.0,130781.4765625,591985
2015-04-22,135800.0,135800.0,133800.0,134800.0,131758.90625,712755
2015-04-23,136000.0,137000.0,133400.0,136400.0,133322.828125,630370
2015-04-24,135600.0,137000.0,131800.0,133400.0,130390.5078125,545635
2015-04-27,134600.0,137600.0,133400.0,136800.0,133713.796875,1020695
2015-04-28,138000.0,138000.0,136400.0,137200.0,134104.78125,668850
2015-04-29,136600.0,137800.0,134800.0,135800.0,132736.359375,817835
2015-04-30,134000.0,136400.0,129400.0,130000.0,127067.2109375,1598090
2015-05-04,128600.0,129800.0,120600.0,120600.0,117879.2734375,1957505
2015-05-06,120200.0,123200.0,119200.0,122600.0,119834.15625,1484705
2015-05-07,122600.0,123400.0,120800.0,122200.0,119443.171875,688875
2015-05-08,121600.0,124000.0,121600.0,121800.0,119052.2109375,443185
2015-05-11,122000.0,122800.0,120600.0,121200.0,118465.7265625,424635
2015-05-12,120000.0,122200.0,119600.0,121000.0,118270.2578125,447655
2015-05-13,120800.0,121200.0,120000.0,120800.0,118074.7578125,404655
2015-05-14,120200.0,122000.0,120200.0,121400.0,118661.21875,307855
2015-05-15,122000.0,122400.0,121200.0,122000.0,119247.6875,311575
2015-05-18,122800.0,124200.0,122400.0,123600.0,120811.59375,519145
2015-05-19,124600.0,125600.0,123400.0,125200.0,122375.5078125,517260
2015-05-20,126800.0,126800.0,123000.0,123200.0,120420.6328125,335115
2015-05-21,121600.0,123000.0,119000.0,121400.0,118661.21875,808320
2015-05-22,121400.0,125400.0,121400.0,125400.0,122570.9765625,404110
2015-05-26,127000.0,127200.0,123400.0,124200.0,121398.0625,363340
2015-05-27,123600.0,123600.0,120200.0,121600.0,118856.7265625,598050
2015-05-28,122600.0,123400.0,121000.0,121000.0,118270.2578125,378195
2015-05-29,120800.0,125800.0,120800.0,121800.0,119052.2109375,783030
2015-06-01,122200.0,124200.0,121800.0,123400.0,120616.1015625,402590
2015-06-02,124400.0,124600.0,121600.0,122200.0,119443.171875,355535
2015-06-03,124000.0,124000.0,120200.0,120200.0,117488.296875,329900
2015-06-04,120400.0,121000.0,116000.0,116000.0,113383.0390625,878690
2015-06-05,113800.0,116600.0,113000.0,113000.0,110450.7265625,843890
2015-06-08,114200.0,118800.0,113600.0,117400.0,114751.46875,582700
2015-06-09,118000.0,119000.0,115400.0,118000.0,115337.921875,630925
2015-06-10,119800.0,119800.0,113600.0,113600.0,111037.1875,447735
2015-06-11,115000.0,117800.0,113200.0,113200.0,110646.21875,1153350
2015-06-12,114800.0,120600.0,114600.0,120200.0,117488.296875,1236155
2015-06-15,121400.0,125600.0,121400.0,125400.0,122570.9765625,1653685
2015-06-16,125600.0,126800.0,123200.0,125400.0,122570.9765625,785550
2015-06-17,124200.0,127400.0,124000.0,126000.0,123157.4453125,557845
2015-06-18,127600.0,127800.0,124400.0,124800.0,121984.53125,366810
2015-06-19,125000.0,127000.0,123000.0,126800.0,123939.4140625,348910
2015-06-22,127600.0,128400.0,125000.0,126200.0,123352.9453125,212155
2015-06-23,127000.0,128000.0,125800.0,128000.0,125112.3203125,231035
2015-06-24,131400.0,131600.0,128800.0,129800.0,126871.7265625,471700
2015-06-25,130400.0,131200.0,128200.0,130600.0,127653.6796875,509600
2015-06-26,131200.0,134200.0,130000.0,131600.0,128631.1328125,673600
2015-06-29,130000.0,131200.0,128200.0,130200.0,127262.6953125,332635
2015-06-30,128800.0,129800.0,125400.0,126800.0,123939.4140625,589955
2015-07-01,125600.0,126200.0,120600.0,125600.0,122766.4765625,1159735
2015-07-02,125800.0,125800.0,122600.0,123000.0,120225.1328125,683695
2015-07-03,124200.0,124800.0,121600.0,122600.0,119834.15625,417175
2015-07-06,121000.0,124200.0,121000.0,123200.0,120420.6328125,361965
2015-07-07,125400.0,125400.0,122000.0,122600.0,119834.15625,408320
2015-07-08,123000.0,127600.0,121800.0,123800.0,121007.078125,675400
2015-07-09,122400.0,123000.0,118800.0,122000.0,119247.6875,473890
2015-07-10,123600.0,123600.0,120600.0,122400.0,119638.671875,282605
2015-07-13,122400.0,124200.0,121800.0,122800.0,120029.6484375,202265
2015-07-14,123200.0,123800.0,122000.0,122800.0,120029.6484375,217055
2015-07-15,122800.0,123000.0,121000.0,121000.0,118270.2578125,287730
2015-07-16,121000.0,124800.0,121000.0,121400.0,118661.21875,505030
2015-07-17,123600.0,127600.0,122400.0,126400.0,123548.4296875,1037680
2015-07-20,129400.0,131400.0,126800.0,127600.0,124721.3515625,613040
2015-07-21,129800.0,130400.0,128200.0,129800.0,126871.7265625,322160
2015-07-22,128600.0,128800.0,125800.0,127000.0,124134.8984375,445375
2015-07-23,126800.0,127000.0,123400.0,124400.0,121593.546875,370860
2015-07-24,124000.0,125400.0,122600.0,125000.0,122180.0078125,386325
2015-07-27,125000.0,125000.0,121200.0,122200.0,119443.171875,365450
2015-07-28,121800.0,122600.0,120200.0,122000.0,119247.6875,420610
2015-07-29,121000.0,122000.0,120000.0,120400.0,117683.78125,542940
2015-07-30,114400.0,114400.0,102000.0,103600.0,101262.796875,3718640
2015-07-31,101600.0,104800.0,101000.0,104600.0,102240.25,1377630
2015-08-03,104000.0,105000.0,103400.0,104000.0,101653.765625,625390
2015-08-04,104000.0,105400.0,103600.0,105200.0,102826.703125,538645
2015-08-05,106200.0,106200.0,103600.0,105000.0,102631.2109375,575545
2015-08-06,105200.0,105400.0,103000.0,103200.0,100871.8203125,840720
2015-08-07,103000.0,103800.0,100000.0,100200.0,97939.5,1272735
2015-08-10,101400.0,103000.0,100600.0,102200.0,99894.3828125,610825
2015-08-11,104200.0,106000.0,103200.0,104600.0,102240.25,593535
2015-08-12,104400.0,106800.0,103400.0,105600.0,103217.6796875,766330
2015-08-13,103200.0,105000.0,102400.0,103800.0,101458.2734375,585205
2015-08-14,103800.0,103800.0,103800.0,103800.0,101458.2734375,0
2015-08-17,102600.0,104000.0,102000.0,102000.0,99698.90625,381550
2015-08-18,102400.0,105000.0,102200.0,104400.0,102044.75,470980
2015-08-19,103200.0,105400.0,103200.0,104800.0,102435.71875,640610
2015-08-20,107000.0,107600.0,103800.0,104200.0,101849.2578125,501140
2015-08-21,105000.0,105200.0,101400.0,103200.0,100871.8203125,487880
2015-08-24,101200.0,103000.0,99100.0,100000.0,97744.015625,620215
2015-08-25,99400.0,100400.0,96400.0,98300.0,96082.3671875,958830
2015-08-26,98000.0,100600.0,96800.0,97800.0,95593.65625,1049370
2015-08-27,99100.0,100400.0,97300.0,97500.0,95300.3984375,734575
2015-08-28,98300.0,99300.0,96100.0,97600.0,95398.15625,957350
2015-08-31,97500.0,99100.0,94200.0,99100.0,96864.3125,896950
2015-09-01,99100.0,100200.0,95000.0,95200.0,93052.3046875,688555
2015-09-02,94100.0,94700.0,92400.0,93200.0,91097.421875,803095
2015-09-03,93200.0,96000.0,93200.0,94100.0,91977.1015625,794535
2015-09-04,94100.0,96300.0,93300.0,93900.0,91781.625,495045
2015-09-07,94600.0,95200.0,93200.0,94900.0,92759.0546875,432215
2015-09-08,95100.0,95600.0,91600.0,92300.0,90217.7265625,486730
2015-09-09,93400.0,100400.0,93400.0,100200.0,97939.5,836235
2015-09-10,98000.0,100400.0,98000.0,100000.0,97744.015625,758425
2015-09-11,98600.0,99100.0,97100.0,97700.0,95495.8984375,488830
2015-09-14,98000.0,98100.0,93600.0,95200.0,93052.3046875,741250
2015-09-15,95000.0,95900.0,93600.0,94100.0,91977.1015625,616850
2015-09-16,94400.0,96300.0,93700.0,96300.0,94127.484375,653565
2015-09-17,96800.0,103000.0,96700.0,102000.0,99698.90625,1131080
2015-09-18,103000.0,103600.0,99700.0,101800.0,99503.390625,497360
2015-09-21,101800.0,101800.0,99900.0,100000.0,97744.015625,248630
2015-09-22,101000.0,101600.0,98900.0,99200.0,96962.0625,394635
2015-09-23,98300.0,103600.0,97700.0,101000.0,98721.4453125,991005
2015-09-24,102400.0,103200.0,100600.0,101200.0,98916.9453125,565765
