value,label
KRX:010040,한국내화
KRX:004310,현대약품
KRX:002200,한국수출포장
KRX:047400,유니온머티리얼
KRX:396690,미래에셋글로벌리츠
KRX:033180,KH 필룩스
KRX:005960,동부건설
KRX:032560,황금에스티
KRX:009070,KCTC
KRX:019440,세아특수강
KRX:023000,삼원강재
KRX:012600,청호ICT
KRX:036580,팜스코
KRX:267290,경동도시가스
KRX:009470,삼화전기
KRX:003060,에이프로젠바이오로직스
KRX:004890,동일산업
KRX:034590,인천도시가스
KRX:002450,삼익악기
KRX:002460,화성산업
KRX:055490,테이팩스
KRX:058860,KTis
KRX:000230,일동홀딩스
KRX:007280,한국특강
KRX:010660,화천기계
KRX:004100,태양금속
KRX:350520,이지스레지던스리츠
KRX:003350,한국화장품제조
KRX:013520,화승코퍼레이션
KRX:096775,SK이노베이션우
KRX:012690,모나리자
KRX:004140,동방
KRX:004720,팜젠사이언스
KRX:035000,HS애드
KRX:067830,세이브존I&C
KRX:023450,동남합성
KRX:264900,크라운제과
KRX:004540,깨끗한나라
KRX:078000,텔코웨어
KRX:227840,현대코퍼레이션홀딩스
KRX:006370,대구백화점
KRX:002600,조흥
KRX:011150,CJ씨푸드
KRX:016880,웅진
KRX:011690,와이투솔루션
KRX:002720,국제약품
KRX:007980,태평양물산
KRX:005870,휴니드
KRX:015590,KIB플러그에너지
KRX:123690,한국화장품
KRX:003480,한진중공업홀딩스
KRX:006740,영풍제지
KRX:017040,광명전기
KRX:044820,코스맥스비티아이
KRX:009410,태영건설
KRX:031820,콤텍시스템
KRX:204210,스타리츠
KRX:011300,성안
KRX:101140,인바이오젠
KRX:308170,씨티알모빌리티
KRX:009200,무림페이퍼
KRX:092440,기신정기
KRX:244920,에이플러스에셋
KRX:004060,SG세계물산
KRX:005740,크라운해태홀딩스
KRX:003610,방림
KRX:145210,다이나믹디자인
KRX:021820,세원정공
KRX:016090,대현
KRX:011420,갤럭시아에스엠
KRX:006340,대원전선
KRX:005800,신영와코루
KRX:007590,동방아그로
KRX:034300,신세계건설
KRX:33626K,두산퓨얼셀1우
KRX:001290,상상인증권
KRX:018500,동원금속
KRX:023810,인팩
KRX:000910,유니온
KRX:001560,제일연마
KRX:010600,웰바이오텍
KRX:007110,일신석재
KRX:008970,동양철관
KRX:378850,화승알앤에이
KRX:013870,지엠비코리아
KRX:006880,신송홀딩스
KRX:03473K,SK우
KRX:004960,한신공영
KRX:004770,써니전자
KRX:010960,삼호개발
KRX:000220,유유제약
KRX:003780,진양산업
KRX:006090,사조오양
KRX:100220,비상교육
KRX:041650,상신브레이크
KRX:003925,남양유업우
KRX:004910,조광페인트
KRX:338100,NH프라임리츠
KRX:014790,HL D&I
KRX:002140,고려산업
KRX:357250,미래에셋맵스리츠
KRX:075180,새론오토모티브
KRX:058730,다스코
KRX:085310,엔케이
KRX:357430,마스턴프리미어리츠
KRX:002920,유성기업
KRX:000590,CS홀딩스
KRX:024890,대원화성
KRX:027740,마니커
KRX:001380,SG글로벌
KRX:002760,보락
KRX:011230,삼화전자
KRX:004270,남성
KRX:003010,혜인
KRX:000850,화천기공
KRX:069460,대호에이엘
KRX:000890,보해양조
KRX:119650,KC코트렐
KRX:000105,유한양행우
KRX:002360,SH에너지화학
KRX:008110,대동전자
KRX:111110,호전실업
KRX:129260,인터지스
KRX:102280,쌍방울
KRX:002220,한일철강
KRX:004920,씨아이테크
KRX:014440,영보화학
KRX:155660,DSR
KRX:017180,명문제약
KRX:026940,부국철강
KRX:009440,KC그린홀딩스
KRX:013700,까뮤이앤씨
KRX:006660,삼성공조
KRX:001260,남광토건
KRX:000650,천일고속
KRX:019180,티에이치엔
KRX:002630,오리엔트바이오
KRX:090080,평화산업
KRX:004450,삼화왕관
KRX:009180,한솔로지스틱스
KRX:001550,조비
KRX:008250,이건산업
KRX:004410,서울식품
